shuttle_location,shuttle_type,engine_type,engine_vendor,engines,passenger_capacity,cancellation_policy,crew,d_check_complete,moon_clearance_complete,price,company_id,shuttle_id,review_scores_rating,review_scores_comfort,review_scores_amenities,review_scores_trip,review_scores_crew,review_scores_location,review_scores_price,number_of_reviews,reviews_per_month,id,company_rating,company_location,total_fleet_count,iata_approved
Anguilla,Type F5,Quantum,ThetaBase Services,1.0,3,flexible,3.0,True,False,1510.1954477837266,11125,25157,87.0,9.0,9.0,9.0,9.0,9.0,9.0,11,2.64,11125,1.0,Nicaragua,12.0,True
Barbados,Type V5,Plasma,ThetaBase Services,1.0,2,flexible,1.0,True,False,2806.0253847706067,17262,1053,100.0,10.0,10.0,10.0,10.0,10.0,10.0,16,3.18,17262,1.0,Slovakia (Slovak Republic),1.0,False
Costa Rica,Type F5,Quantum,ThetaBase Services,1.0,1,flexible,1.0,True,False,1202.4264581190068,6004,71708,100.0,10.0,10.0,10.0,10.0,10.0,10.0,6,2.12,6004,0.8828186250962397,Micronesia,4.0,False
Estonia,Type V5,Plasma,ThetaBase Services,0.0,4,strict,3.0,True,False,1612.2915729143149,44169,55898,93.0,10.0,9.0,9.0,9.0,9.0,8.0,3,1.91,44169,0.9579719680535467,Portugal,39.0,False
Barbados,Type V2,Plasma,ThetaBase Services,1.0,4,strict,1.0,False,False,2476.8330440936293,43134,49847,95.0,10.0,9.0,10.0,10.0,10.0,9.0,17,1.04,43134,1.0,Suriname,6.0,False
Micronesia,Type V5,Quantum,ThetaBase Services,1.0,2,flexible,1.0,True,False,2169.8979906655263,48502,41621,86.0,9.0,9.0,9.0,9.0,10.0,9.0,32,2.92,48502,0.9889437449828556,Nicaragua,11.0,True
Sao Tome and Principe,Type V5,Quantum,ThetaBase Services,1.0,1,strict,1.0,False,False,1136.466069137627,1577,51235,100.0,10.0,10.0,10.0,10.0,9.0,9.0,4,0.14,1577,0.9854341202674064,Peru,8.0,True
Rwanda,Type V2,Quantum,ThetaBase Services,1.0,2,strict,2.0,True,False,1274.6850818900903,37293,49175,91.0,9.0,9.0,9.0,9.0,9.0,9.0,34,2.42,37293,0.9386584455228527,Russian Federation,15.0,False
Barbados,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,False,False,2149.4722140067615,6974,29263,95.0,10.0,9.0,10.0,10.0,10.0,10.0,33,0.6,6974,0.9838005786833571,Barbados,1.0,True
Sao Tome and Principe,Type F5,Quantum,ThetaBase Services,1.0,1,flexible,1.0,False,False,1367.1871571975732,18629,32359,93.0,10.0,9.0,10.0,10.0,10.0,9.0,6,0.39,18629,0.9964872796288935,Sao Tome and Principe,3.0,False
Barbados,Type V5,Plasma,ThetaBase Services,2.0,3,strict,1.0,False,False,2792.6764775444126,4330,47948,80.0,8.0,10.0,10.0,10.0,10.0,10.0,1,0.32,4330,0.9394063254876859,Ukraine,60.0,True
Sao Tome and Principe,Type V5,Quantum,ThetaBase Services,1.0,3,strict,2.0,True,False,1651.1129386511577,17694,30792,100.0,10.0,10.0,10.0,10.0,10.0,10.0,45,1.14,17694,1.0,Isle of Man,4.0,True
Kiribati,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,False,False,1173.5802468942109,36100,52778,100.0,10.0,10.0,10.0,10.0,10.0,10.0,12,0.81,36100,0.9813119694171752,Rwanda,17.0,True
