engines,passenger_capacity,crew,d_check_complete,moon_clearance_complete,iata_approved,company_rating,review_scores_rating,prediction,price
2.0,4,2.0,False,False,False,1.0,91.0,2682.97469811341,1715.0
3.0,5,3.0,False,False,True,1.0,96.0,3512.325624107234,3405.0
1.0,2,1.0,True,False,False,1.0,97.0,1708.3715856187732,1806.0
1.0,2,1.0,False,False,True,1.0,95.0,1649.4319085855948,1676.0
5.0,10,5.0,False,False,True,1.0,97.0,5512.3584974358755,4718.0
2.0,4,3.0,False,False,True,1.0,93.0,2700.5493775016203,2950.0
1.0,2,1.0,False,False,True,1.0,92.0,1713.7696199528118,1975.0
1.0,2,1.0,True,False,False,1.0,97.0,1708.3715856187732,1455.0
1.0,2,1.0,False,False,True,1.0,94.0,1693.4172830847233,1338.0
1.0,2,1.0,False,False,True,0.67,88.0,1665.196111470886,1455.0
0.0,1,1.0,False,False,True,1.0,95.0,1635.7846694045895,1845.0
1.0,2,1.0,False,False,False,1.0,95.0,1828.8043973865229,1169.0
1.0,3,1.0,True,False,False,1.0,72.0,2650.7091072534563,2625.0
1.0,2,1.0,True,False,False,1.0,95.0,1626.4772995506373,1975.0
1.0,1,1.0,False,False,True,1.0,93.0,1306.6191692536586,1169.0
2.0,3,2.0,True,False,True,1.0,95.0,2158.485976881518,3470.0
1.0,3,1.0,True,False,False,1.0,94.0,2245.991935626208,2495.0
1.0,2,1.0,False,False,False,1.0,96.0,1725.024379624804,1390.0
1.0,4,2.0,False,False,True,1.0,100.0,2103.549449668541,2040.0
2.0,5,3.0,False,False,False,0.8,93.0,2648.574514658735,3210.0
1.0,2,1.0,False,False,True,1.0,96.0,1725.5932694524192,1455.0
1.0,1,1.0,False,False,True,1.0,94.0,1325.9193540643323,1377.0
2.0,4,2.0,False,False,True,1.0,60.0,2440.686328928941,2625.0
1.0,3,2.0,False,False,False,1.0,91.0,1684.184498577062,1650.0
2.0,5,2.0,True,False,False,1.0,87.0,3237.465440378583,3028.0
1.0,2,1.0,False,False,True,0.9,97.0,1550.5010062107553,1429.0
1.0,2,1.0,False,False,True,1.0,95.0,1649.4319085855948,2235.0
1.0,4,2.0,True,False,True,1.0,94.0,2279.260350389046,2300.0
1.0,2,1.0,False,False,False,1.0,97.0,1616.4821359318435,1416.0
2.0,6,3.0,False,False,True,1.0,91.0,3080.523812521074,1845.0
1.0,2,0.0,True,False,False,1.0,97.0,1594.056237783,1611.0
2.0,4,2.0,False,False,False,1.0,97.0,2927.133904910476,2170.0
1.0,2,1.0,False,False,False,1.0,85.0,1592.8459915024332,1715.0
1.0,1,1.0,False,False,False,1.0,99.0,1345.173047164596,1767.0
1.0,2,1.0,False,False,True,1.0,70.0,1765.0062922862887,1845.0
1.0,2,1.0,False,False,True,1.0,100.0,1776.2079307938095,2157.0
2.0,4,3.0,False,False,True,1.0,96.0,2523.7077582242896,1650.0
1.0,3,1.0,True,False,False,1.0,73.0,2666.7873354045328,2872.0
1.0,4,3.0,False,False,True,1.0,94.0,2359.0646549094618,2105.0
2.0,5,2.0,True,False,False,1.0,83.0,3047.640870723752,3015.0
1.0,2,1.0,True,False,False,1.0,94.0,1426.489401569018,1325.0
2.0,5,2.0,False,False,False,1.0,87.0,3304.955758634926,2560.0
2.0,6,3.0,False,False,True,0.83,88.0,3476.348296929001,3990.0
2.0,2,2.0,False,False,False,0.7,100.0,2051.908649839537,1585.0
1.0,3,2.0,False,False,True,1.0,92.0,1735.2024646334573,1585.0
2.0,4,3.0,False,False,True,1.0,93.0,2700.5493775016203,3405.0
1.0,3,1.0,False,False,False,1.0,94.0,2061.119200496626,2430.0
1.0,1,1.0,False,False,False,1.0,96.0,1328.9111609286651,1390.0
3.0,8,4.0,False,False,False,1.0,98.0,3522.258197484177,2469.0
1.0,2,2.0,False,False,False,1.0,91.0,1647.438902283468,2300.0
