shuttle_location,shuttle_type,engine_type,engine_vendor,engines,passenger_capacity,cancellation_policy,crew,d_check_complete,moon_clearance_complete,price,company_id,shuttle_id,review_scores_rating,review_scores_comfort,review_scores_amenities,review_scores_trip,review_scores_crew,review_scores_location,review_scores_price,number_of_reviews,reviews_per_month,id,company_rating,company_location,total_fleet_count,iata_approved
Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,2.0,4,moderate,2.0,False,False,1715.0,32413,45163,91.0,10.0,9.0,9.0,9.0,9.0,9.0,26,0.77,32413,1.0,Faroe Islands,1.0,False
Wallis and Futuna,Type V2,Plasma,ThetaBase Services,3.0,5,moderate,3.0,False,False,3405.0,14122,49438,96.0,10.0,10.0,10.0,10.0,10.0,9.0,61,0.62,14122,1.0,Malta,1.0,True
Niue,Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,True,False,1806.0,47761,10750,97.0,10.0,10.0,10.0,10.0,10.0,10.0,467,4.66,47761,1.0,Niue,2.0,False
Malta,Type V2,Quantum,ThetaBase Services,1.0,2,moderate,1.0,False,False,1676.0,26648,4146,95.0,10.0,10.0,10.0,10.0,9.0,9.0,318,3.22,26648,1.0,Niue,2.0,True
Malta,Type V2,Plasma,ThetaBase Services,5.0,10,strict,5.0,False,False,4718.0,26648,5067,97.0,10.0,9.0,10.0,10.0,9.0,10.0,22,0.29,26648,1.0,Niue,2.0,True
Faroe Islands,Type V5,Plasma,ThetaBase Services,2.0,4,strict,3.0,False,False,2950.0,24304,14891,93.0,9.0,8.0,10.0,9.0,9.0,9.0,15,0.19,24304,1.0,Micronesia,1.0,True
Malta,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,False,False,1975.0,42867,5689,92.0,9.0,10.0,9.0,10.0,10.0,9.0,75,0.79,42867,1.0,Indonesia,2.0,True
Faroe Islands,Type F5,Quantum,ThetaBase Services,1.0,2,strict,1.0,True,False,1455.0,47761,75321,97.0,10.0,10.0,10.0,10.0,9.0,10.0,450,4.5,47761,1.0,Niue,2.0,False
Malta,Type V2,Quantum,ThetaBase Services,1.0,2,strict,1.0,False,False,1338.0,11275,25733,94.0,10.0,9.0,10.0,10.0,9.0,9.0,168,2.55,11275,1.0,Brazil,3.0,True
Bouvet Island (Bouvetoya),Type V5,Quantum,Warwick Technology Multinational,1.0,2,strict,1.0,False,False,1455.0,21747,38733,88.0,10.0,8.0,9.0,9.0,9.0,9.0,38,0.41,21747,0.67,Gambia,1.0,True
Barbados,Type V5,Quantum,ThetaBase Services,0.0,1,moderate,1.0,False,False,1845.0,42114,18221,95.0,9.0,10.0,10.0,10.0,10.0,9.0,184,1.9,42114,1.0,Sao Tome and Principe,3.0,True
Anguilla,Type O3,Quantum,ThetaBase Services,1.0,2,flexible,1.0,False,False,1169.0,29416,18590,95.0,10.0,9.0,10.0,10.0,9.0,10.0,172,1.91,29416,1.0,Anguilla,1.0,False
Rwanda,Type G0,Plasma,ThetaBase Services,1.0,3,strict,1.0,True,False,2625.0,37646,19813,72.0,7.0,8.0,8.0,8.0,9.0,8.0,10,0.15,37646,1.0,Estonia,60.0,False
Malta,Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,True,False,1975.0,21836,74856,95.0,9.0,10.0,10.0,10.0,9.0,9.0,176,1.95,21836,1.0,Mauritania,3.0,False
Faroe Islands,Type F5,Quantum,ThetaBase Services,1.0,1,strict,1.0,False,False,1169.0,28884,29755,93.0,9.0,10.0,10.0,10.0,9.0,9.0,23,0.27,28884,1.0,Micronesia,2.0,True
Barbados,Type V5,Plasma,ThetaBase Services,2.0,3,strict,2.0,True,False,3470.0,42114,12358,95.0,9.0,9.0,10.0,10.0,10.0,9.0,23,0.28,42114,1.0,Sao Tome and Principe,3.0,True
Rwanda,Type V5,Plasma,ThetaBase Services,1.0,3,moderate,1.0,True,False,2495.0,31859,259,94.0,10.0,10.0,10.0,10.0,9.0,9.0,182,1.97,31859,1.0,Maldives,2.0,False
Marshall Islands,Type F5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,False,False,1390.0,4795,71339,96.0,10.0,9.0,10.0,10.0,9.0,10.0,55,0.59,4795,1.0,Malta,1.0,False
Russian Federation,Type V5,Plasma,ThetaBase Services,1.0,4,moderate,2.0,False,False,2040.0,5570,56080,100.0,10.0,10.0,10.0,10.0,10.0,10.0,26,1.07,5570,1.0,Finland,1.0,True
Malta,Type V5,Plasma,ThetaBase Services,2.0,5,strict,3.0,False,False,3210.0,33906,66614,93.0,9.0,9.0,9.0,9.0,10.0,9.0,15,0.18,33906,0.8,Marshall Islands,1.0,False
Niue,Type V5,Quantum,ThetaBase Services,1.0,2,strict,1.0,False,False,1455.0,11781,16137,96.0,9.0,9.0,10.0,10.0,9.0,9.0,65,0.71,11781,1.0,Guinea,2.0,True
Niue,Type F5,Quantum,ThetaBase Services,1.0,1,moderate,1.0,False,False,1377.0,32063,54844,94.0,10.0,9.0,10.0,10.0,9.0,9.0,74,1.05,32063,1.0,Niue,2.0,True
Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,2.0,4,strict,2.0,False,False,2625.0,14240,58486,60.0,9.0,8.0,8.0,8.0,9.0,7.0,3,0.03,14240,1.0,Chile,3.0,True
Nicaragua,Type V5,Quantum,ThetaBase Services,1.0,3,strict,2.0,False,False,1650.0,14191,14259,91.0,9.0,9.0,10.0,10.0,10.0,9.0,202,2.2,14191,1.0,Slovakia (Slovak Republic),1.0,False
United Kingdom,Type G0,Plasma,ThetaBase Services,2.0,5,strict,2.0,True,False,3028.0,37646,5637,87.0,9.0,9.0,9.0,9.0,9.0,9.0,25,0.34,37646,1.0,Estonia,60.0,False
Micronesia,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,False,False,1429.0,15391,23951,97.0,10.0,10.0,10.0,10.0,9.0,10.0,34,0.93,15391,0.9,Niger,2.0,True
Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1.0,2,strict,1.0,False,False,2235.0,14240,2990,95.0,9.0,9.0,10.0,10.0,10.0,9.0,25,0.28,14240,1.0,Chile,3.0,True
Costa Rica,Type V5,Plasma,ThetaBase Services,1.0,4,strict,2.0,True,False,2300.0,37392,7653,94.0,10.0,10.0,10.0,10.0,9.0,9.0,70,0.8,37392,1.0,Micronesia,7.0,True
Russian Federation,Type V5,Quantum,ThetaBase Services,1.0,2,moderate,1.0,False,False,1416.0,9011,40515,97.0,10.0,9.0,9.0,10.0,10.0,9.0,64,0.73,9011,1.0,Russian Federation,1.0,False
